        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -5.572743538395e-01,        +2.793374001331e-03,        -4.586254177905e+03,        -9.823081227932e+00
 1.50000000e+00,        +5.862598107641e-02,        +2.499042073004e-03,        -3.942713605038e+03,        +1.093556349092e+02
 2.00000000e+00,        -3.980820852043e-01,        +3.342006944786e-03,        -3.698574577244e+03,        -1.681342395872e+02
 2.50000000e+00,        -1.425153397904e+00,        +4.062902123918e-03,        -3.553249938416e+03,        +1.813826899909e+01
 3.00000000e+00,        +9.098318508479e-01,        +3.441924696081e-03,        -3.494356446135e+03,        +2.938611865978e+01
 3.50000000e+00,        +1.401375845494e-01,        +2.538365327190e-03,        -3.479939756941e+03,        -9.717451537159e+01
 4.00000000e+00,        +1.136672642640e-01,        +3.782206977666e-03,        -3.482450191503e+03,        +1.625045159898e+02
 4.50000000e+00,        -2.015167960758e-02,        +2.227232873772e-03,        -3.484422624473e+03,        -1.580617111961e+02
 5.00000000e+00,        -7.230868973039e-02,        +3.855676090266e-03,        -3.481092435838e+03,        +1.721593174545e+02
 5.50000000e+00,        -2.210401375014e+00,        +3.839884401068e-03,        -3.479357062119e+03,        -1.597533539345e+02
 6.00000000e+00,        -4.324780721955e-02,        +2.599403109739e-03,        -3.475201547286e+03,        +1.174549600784e+02
 6.50000000e+00,        -2.778209815864e+00,        +4.413025930393e-03,        -3.472733343239e+03,        +5.743138820272e+01
 7.00000000e+00,        -2.258746119607e-01,        +2.547359495999e-03,        -3.477822001991e+03,        +3.383549956593e+01
 7.50000000e+00,        -1.984460344451e-01,        +2.569407096804e-03,        -3.466997245886e+03,        -1.104624743798e+01
 8.00000000e+00,        -8.942219546089e-01,        +3.560954858462e-03,        -3.470265416310e+03,        -6.907123104461e+01
 8.50000000e+00,        +5.510405149307e-02,        +2.205938458325e-03,        -3.464799939876e+03,        +7.625656576738e+01
 9.00000000e+00,        +1.047634211014e+00,        +3.271113653019e-03,        -3.468252237549e+03,        -3.363262027779e+01
 9.50000000e+00,        -3.821031825128e-01,        +3.767753648612e-03,        -3.462281267343e+03,        +1.212868932150e+02
 1.00000000e+01,        -6.622379993034e-01,        +3.447065658736e-03,        -3.461871064060e+03,        +9.772256641510e+01
 1.05000000e+01,        +3.583662222980e-01,        +2.678913374926e-03,        -3.463709724777e+03,        -5.276088316790e+01
 1.10000000e+01,        +4.769855591378e-01,        +3.019146755145e-03,        -3.492474305368e+03,        -2.258266493322e+00
 1.15000000e+01,        -6.059596834066e-01,        +2.969877004116e-03,        -3.467722990990e+03,        +5.762800716589e+01
 1.20000000e+01,        +4.301626242608e-03,        +2.156653511130e-03,        -3.466915070124e+03,        +7.164738579671e+01
 1.25000000e+01,        +8.396726527016e-03,        +3.158117621739e-03,        -3.469886273968e+03,        +9.948809464049e+01
 1.30000000e+01,        -2.244082289288e-01,        +2.696481209412e-03,        -3.477905994203e+03,        -2.774066657341e+00
 1.35000000e+01,        -1.950586773290e+00,        +4.031591840689e-03,        -3.477752250482e+03,        -1.461433505940e+02
 1.40000000e+01,        +2.193876289508e-01,        +3.363789711222e-03,        -3.469448847688e+03,        -4.621685017791e+00
 1.45000000e+01,        -1.303479600154e+00,        +3.992374310741e-03,        -3.466738652640e+03,        +1.422210708128e+02
 1.50000000e+01,        +4.905842024688e-01,        +3.396262810405e-03,        -3.477806776324e+03,        -1.965161010105e+01
 1.55000000e+01,        -1.061314271451e-01,        +3.844629541688e-03,        -3.470061023818e+03,        +7.866052176143e+01
 1.60000000e+01,        -6.014404441043e-01,        +3.620325849526e-03,        -3.471694667286e+03,        +4.744975777262e+00
 1.65000000e+01,        -1.001699602892e-01,        +3.479934477991e-03,        -3.479544325168e+03,        -1.568771116229e+02
 1.70000000e+01,        +8.279102173741e-03,        +2.913964846295e-03,        -3.467737737840e+03,        +1.202426548413e+02
 1.75000000e+01,        +4.297588024210e-01,        +2.630107087852e-03,        -3.479239413010e+03,        +3.980965566398e+01
 1.80000000e+01,        -8.683010954429e-02,        +2.733997094242e-03,        -3.465402947114e+03,        +1.294506948393e+02
 1.85000000e+01,        +1.079542861997e+00,        +3.318536670230e-03,        -3.467528131114e+03,        +6.825146485879e+01
 1.90000000e+01,        -5.735730306855e-02,        +1.956200423722e-03,        -3.464897832490e+03,        +9.411466087731e+01
 1.95000000e+01,        -1.383920575656e-01,        +1.959715853767e-03,        -3.466753482915e+03,        -4.516660595130e+01
 2.00000000e+01,        -3.200961051434e-01,        +2.654216228852e-03,        -3.465771664789e+03,        +1.729671322514e+02
