        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +9.571081045380e-14,        +7.277113842772e-06,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +1.369397581264e-13,        +4.659160676729e-06,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.090782785785e-13,        +4.433684610398e-06,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +2.730373556233e-13,        +3.831199746933e-06,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +3.724871731562e-13,        +3.538894681745e-06,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +3.321020501835e-13,        +2.047316619887e-06,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +4.860699968902e-13,        +2.661137125777e-06,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +3.804007531926e-13,        +1.371631489990e-06,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +5.906165801550e-13,        +2.124296127595e-06,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +5.382510470414e-13,        +1.503598188584e-06,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +5.557534090926e-13,        +1.197438823331e-06,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +6.665407425624e-13,        +1.369656379552e-06,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +6.254818446587e-13,        +9.849142426623e-07,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e+00,        +6.947591880893e-13,        +9.301310235114e-07,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +8.285965279972e-13,        +1.115488249827e-06,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e+00,        +7.224631340834e-13,        +7.254807062481e-07,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +1.109423963265e-12,        +1.139031415766e-06,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e+00,        +1.079414784203e-12,        +1.054270308082e-06,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +1.043602054022e-12,        +8.872348029527e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.05000000e+01,        +1.031957670033e-12,        +7.385407915603e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +1.181530029018e-12,        +8.054834054579e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e+01,        +1.101445818272e-12,        +6.690277148593e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +9.838467961929e-13,        +4.994672509621e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+01,        +1.300628728883e-12,        +7.024808209041e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +1.225471108627e-12,        +5.614707172344e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+01,        +1.407303732836e-12,        +6.627007127833e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +1.580607019252e-12,        +6.845267252643e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+01,        +1.574148904280e-12,        +6.582443348390e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +1.774760751742e-12,        +6.654799849272e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+01,        +1.858242835983e-12,        +6.806422436057e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +1.724579238820e-12,        +5.864805175869e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+01,        +1.834969906473e-12,        +5.791329326690e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +1.658673724271e-12,        +4.765972651759e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+01,        +1.694947227725e-12,        +4.386413094151e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +1.694555511230e-12,        +4.177179744621e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+01,        +2.266040619107e-12,        +5.642251855879e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +1.521960687763e-12,        +2.841054002445e-07,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+01,        +1.535047625661e-12,        +2.747526843289e-07,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +1.799095812254e-12,        +3.552756391953e-07,        +0.000000000000e+00,        +0.000000000000e+00
